domain	phylum	class	order	family	genus	species	tax_id	tax_level	CRR125950_0.5.bracken_num	CRR125950_0.5.bracken_frac	CRR125950_0.90.bracken_num	CRR125950_0.90.bracken_frac	CRR125950_0.95.bracken_num	CRR125950_0.95.bracken_frac	CRR125950_0.99.bracken_num	CRR125950_0.99.bracken_frac	CRR125950_0.bracken_num	CRR125950_0.bracken_frac	CRR125950_1.bracken_num	CRR125950_1.bracken_frac
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio sp. 2521-89	2014742	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella jejuni	1177574	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	32	0.00075	0	0.00000
Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Eremothecium gossypii	33169	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00007	0	0.00000
Bacteria	Planctomycetes	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Limihaloglobus	Limihaloglobus sulfuriphilus	1851148	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium sp. 257-1	2605945	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis alaskensis	117207	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00007	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Candidatus Coxiella mudrowiae	2054173	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Mucinivorans	Mucinivorans hirudinis	1433126	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus alimentarius	1602	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus liaowanqingii	2560053	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. PAMC28499	2565554	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00023	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella multipartita	53461	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus iheyensis	182710	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira japonica	1325564	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
